Name,Quantity,Component
"U4",1," Arduino Uno R3"
"U6",1," LCD 16 x 2"
"R3, R11, R12, R13, R14, R15, R16, R17, R18",9,"220 Ω Resistor"
"S10, S11, S12, S13, S14, S15, S16, S17, S18",9," Slideswitch"
"Rpot3, Rpot4",2,"250 kΩ Potentiometer"
"U7, U8",2," 8-port I2C expander"
"D9, D10, D11, D12, D13, D14, D15, D16",8,"Red LED"
