Name,Quantity,Component
"U1",1," Arduino Uno R3"
"PIEZO1",1," Piezo"
"Rpot1",1,"10 kΩ Potentiometer"
"R1",1,"220 Ω Resistor"
"S1, S2, S3, S4, S5",5," Pushbutton"
"R2, R3, R4, R5, R6",5,"10 kΩ Resistor"
